Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,MACD,MACD_Signal,RSI_14,Stochastic,Bollinger_High,Bollinger_Low
2017-02-03,1011.4600219726562,1033.8699951171875,1008.7899780273438,1029.9100341796875,1029.9100341796875,201278000,920.1815002441406,941.0831536001314,18.26160411906301,2.9735847172465877,68.9577342889782,97.21488405795857,1018.8976330313154,821.4653674569657
2017-02-04,1031.3299560546875,1045.9000244140625,1015.1599731445312,1042.9000244140625,1042.9000244140625,155064000,931.2366027832031,950.7799984395534,23.81980025972223,7.142827825741716,70.53436412502369,98.05463887413491,1032.883625745269,829.5895798211372
2017-02-05,1043.52001953125,1043.6300048828125,1022.3699951171875,1027.3399658203125,1027.3399658203125,114208000,941.0269012451172,958.0714239043876,26.661803385127996,11.046622937618974,66.19722644025632,87.96466117264684,1040.0610713173937,841.9927311728406
2017-02-06,1028.4000244140625,1044.6400146484375,1028.1600341796875,1038.1500244140625,1038.1500244140625,111762000,947.5375030517578,965.6979572862615,29.446946651712096,14.7266876804376,67.68392383412323,94.97448375818186,1053.8663329943374,841.2086731091782
2017-02-07,1040.1400146484375,1061.9300537109375,1040.1400146484375,1061.3499755859375,1061.3499755859375,146007008,956.2741027832031,974.8076733148021,33.144169570561985,18.410184058462477,70.66579124459551,99.65926470872941,1069.627203860795,842.9210017056114
2017-02-08,1062.3199462890625,1078.969970703125,1037.489990234375,1063.0699462890625,1063.0699462890625,201855008,964.4739501953125,983.2136040742554,35.80034849959043,21.88821694668807,70.88031482797525,91.00402444086379,1083.665613892878,845.282286497747
2017-02-09,1064.699951171875,1088.989990234375,953.343994140625,994.3829956054688,994.3829956054688,407220000,969.4417999267578,984.2773556486567,31.994118278347855,23.909397213020025,53.921351416789484,45.35935146438352,1084.863813600528,854.0197862529876
2017-02-10,995.6320190429688,998.905029296875,946.6909790039062,988.6740112304688,988.6740112304688,190452000,972.7860504150391,984.6960847516864,28.192006180185103,24.76591900645304,52.790772241870656,40.935698573790624,1086.3524316432454,859.2196691868329
2017-02-11,988.8980102539062,1009.2899780273438,982.8300170898438,1004.4500122070312,1004.4500122070312,102261000,976.77490234375,986.577411176005,26.15035140989528,25.04280548714149,55.5634734464305,50.22433320839432,1088.8963848982364,864.6534197892636
2017-02-12,1003.52001953125,1004.760009765625,996.9210205078125,999.1810302734375,999.1810302734375,67530000,980.6833526611329,987.7777558519508,23.832436989354164,24.800731787584027,54.41399390328589,47.020361135614884,1090.175955637549,871.1907496847168
2017-02-13,998.885009765625,1002.0999755859375,976.0020141601562,990.6420288085938,990.6420288085938,100607000,985.581103515625,988.0505437525834,21.063638543138154,24.053313138694854,52.51779704712497,41.47034892590682,1087.3840607177256,883.7781463135244
2017-02-14,991.7349853515625,1011.510009765625,986.4710083007812,1004.5499877929688,1004.5499877929688,137946000,990.7315032958984,989.6219193754772,19.76377735989172,23.195405982934226,55.25292986082851,40.66016220966816,1085.1623504333006,896.3006561584962
2017-02-15,1006.2100219726562,1008.8400268554688,1001.5800170898438,1007.47998046875,1007.47998046875,89759400,995.2262023925781,991.322687098646,18.75387097838052,22.307098982023486,55.83017601125812,42.71920158769715,1083.6706761339588,906.7817286511973
2017-02-16,1007.6500244140625,1033.3699951171875,1007.6500244140625,1027.43994140625,1027.43994140625,122277000,1000.6106994628906,994.7624256041322,19.34116205365376,21.71391159634954,59.64899145622686,56.74597574790032,1082.919066421032,918.3023325047491
2017-02-17,1026.1199951171875,1053.1700439453125,1025.6400146484375,1046.2099609375,1046.2099609375,136474000,1006.8416961669922,999.6621908739768,21.078201781176745,21.58676963331498,62.89758172988067,69.93652385427465,1082.9098970208972,930.773495313087
2017-02-18,1049.2099609375,1061.0999755859375,1046.9599609375,1054.4200439453125,1054.4200439453125,99073504,1013.5878997802735,1004.8772244998182,22.8538583115552,21.840187368963022,64.25322348685398,75.70612333133313,1080.902169044696,946.2736305158509
